assisted_bathing,When one character is [[bathing]] another.
sasha_(animal_crossing),"Sasha (jp: ミッチェル Mitchell) is a lazy rabbit villager introduced in the New Horizons 2.0 update. He is the first and currently the only male villager to have the fashion hobby.

Sasha is a light seafoam green rabbit. His muzzle, paws, and eartips are white with a gradient. His nose and the insides of his ears are a light orange color. He also has a tuft of blond bangs across his forehead, and his tail is a matching shade of yellow. He has large, reflective eyes with small eyelashes; his eyes typically have large dark pupils with two white reflections in each and no visible irises, but he gains lavender irises when surprised. His default outfit is the blue Letter Jacket.
As a lazy villager, Sasha will be friendly and easy to get along with due to his laid back lifestyle. Like all lazy villagers, he has a love of food and relaxing. He will enjoy partaking in the usual hobbies, usually for relaxing reasons or for food, like when fishing. Sasha will get along well with other villagers, but may offend or confuse jock villagers, who have a lifestyle of exercise and fitness, which conflicts with the lazy lifestyle of relaxing and food. He will get along with other lazy villagers with whom he will talk about food, comics, or superheroes. He will also get along well with normal, peppy, smug and sisterly villagers, and occasionally cranky villagers, but may from time to time annoy snooty villagers, who disagree with the lazy lifestyle."
angel_kitten,A currently unknown entity in the game [[Ookibloks]]. Please edit in the proper info.
lana's_mother,The unnamed mother of [[trial_captain_lana]] in [[pokémon]].
scp-2845,"thumb #1714910
[b]SCP-2845[/b], aka The Deer, is a Threat Level-Black, Keter Class Object.  

SCP-2845 is a quadruped entity, measuring 2.9 meters in height at the shoulder and weighing 815 kilograms. A sinuous neck, generally held in an upright position, extends a further .5 m, terminating in a head with humanoid facial features. SCP-2845 possesses antlers, measuring 4.8 meters across: Antlers are white with black marbling in coloration, and have not been observed to shed. SCP-2845 is covered in hair with an average length of 10 cm, with the exception of the face, which is hairless. SCP-2845’s coloration is primarily a pastel green, with a stripe of cream on the underside of the neck and belly.

A ring of ice particles is suspended 15 cm behind SCP-2845’s skull, measuring 1.7 m in diameter, with a ring thickness of 35 cm. This ring is interrupted at regular intervals by seven spheres consisting of metallic hydrogen and metallic helium, each measuring 15 cm in diameter. The ring and spheres rotate clockwise at a speed of 1.6 rpm. The force maintaining the movement of the ring, the physical state of the spheres, and the means by which SCP-2845 is capable of supporting its head under the weight of its antlers are unknown.

SCP-2845 is capable of instantaneous transmutation and reconstruction of matter. No matter is created or destroyed during this process. This property is manifested at will, with an observed range extending to targets within eyesight: maximum range of this ability is unknown. Transmuted matter will remain stable despite the lack of other factors: for example, metallic hydrogen and helium are common results, which will remain in either solid or liquid form despite the surrounding temperature. Altered atmosphere will not mix with unaltered regions, maintaining chemical consistency. The most common transmutation results are the solid or liquid forms of hydrogen, and helium, the conversion of atmosphere into a hydrogen/helium/ammonia mix, and the transmutation of plant life into metalloid-based organisms. SCP-2845 will typically surround itself with a transmuted area with a radius of approximately five meters at all times. SCP-2845 has proven itself completely resistant to physical damage.

The most common forms of offensive transmutation used by SCP-2845 are a column measuring five to seven meters in diameter and sixty to eighty meters in height, or a horizontal cone measuring between one hundred and one hundred and fifty meters in length and ten to thirty meters in width at the furthest end. However, SCP-2845 has been observed to attack single targets at distances of up to 10 kilometers. Early observation of SCP-2845 during recovery indicated that it will generally ignore non-combatants, focusing on retaliation against attackers. However, SCP-2845 was not seen to make any attempts to spare non-combatants within the area of effect of its transmutations, and later recovery accounts indicate pre-emptive attacks against both military and civilian targets.

SCP-2845-1 designates human beings that have been modified by SCP-2845. Instances of SCP-2845-1 are hexagonal columns measuring 2.4 meters in height, with rubbery yellow-green skin. SCP-2845-1 instances do not have any outward sense organs, and autopsy has shown that internal organs are likewise absent, save the brain, which now takes up the entirety of the column and contains the reconstituted mass of the other organs and some additional outside materials. It is unknown how SCP-2845-1 instances derive nutrients, or if any nutrition is required.

SCP-2845 splintered off of a comet and crash landed on earth on December 21st, 2011 (One Year before The End of the World according to the Mayan Calendar).  In order to keep the Deer God contained at a special shrine where a series of 6 elaborate 39 minute rituals must be performed within intervals of 10 hours, to a total of 63 Hours and 54 Minutes.  Failure to complete the ritual cycle correctly may result the Deer God becoming displeased and suddenly going on an unrollable rampage.

SCP-2845 is based on the the Titan King Saturn from Roman mythology.  Its description is also a pun.  It is basically a literal ""Deer/Dear God"" and due the incredibly long nature of its containment procedure and the fact that it is a Teal Deer, it is also a [[TL;DR]]."
yu_chi_i,"h5.Sources:

* ""Personal Website"":https://yuuchi.pb.online/Yu_chi_i
""Pixiv"":https://www.pixiv.net/member.php?id=9003077
""Twitter"":https://twitter.com/Yu_chi_i
""Portal Circle"":https://portal.circle.ms/Circle/Index/10370875"
geico_gecko,"The Geico Gecko is the anthropomorphic gecko mascot used in GEICO commercials.
The company's reptilian mascot which is a talking Day Gecko was created by The Martin Agency and most recently a CGI creature generated by Animation Director David Hulin."
rubber_duck,"thumb #61668 thumb #760443 thumb #640003

A [b]rubber duck[/b] is a [[bath toy]] shaped like a stylized [[duck]], generally yellow with a flat base. It may be made of [[rubber]] or rubber-like material such as vinyl plastic. The yellow rubber [[duck]] has achieved an iconic status in Western pop culture and is often symbolically linked to [[bath|bathing]]. Various novelty variations of the bath toy are produced.

Do not tag these with [[duck]], as they are inanimate objects.

If the species is anything other than a duck, consider tagging as [[bath toy]] instead of this tag. 

h4. See also

* [[duck]] 
* [[bath]]"
rufous_sengi,"h4. See also

* [[mammal]]
** [[sengi]]
*** rufous_sengi"
1987,"This tag applies to images made in the year 1987.

<-- [[1986]] | [b]1987[/b] | [[1988]] -->"
neck_bulge,"thumb #3239125

A bulge portrayed in a character's throat. This is most often caused by the following:

* A large [[penis]], [[tentacles|tentacle]], or [[insertion]] entering through the mouth and going very deep.
* [[Swallowing]] food, liquid, an object, or another character.

Note that this tag shouldn't be used for characters that have a prominent ""''Adam's apple''"":http://i.imgur.com/DYYgGrx.jpg. 

h4.See also: 

* [[abdominal_bulge]]
* [[cheek_bulge]]
* [[vore]]"
marilith,"A [[split-form]] [[draconcopode]] creature with exactly [[multi arm|six arms]]. The top half is ordinarily [[humanoid]], but some examples based on other [[anthro]] species exist ([i]e.g.,[/i] pool #16099). As with [[lamia]], a creature with an [[ophidian]] upper body would not be a marilith, but simply a multi-arm [[naga]].

Although mariliths are originally from [[dungeons and dragons|D&D]], the [i][[marilith]][/i] tag does not [i]automatically[/i] imply the [i][[dungeons_and_dragons]][/i] tag. The latter should be reserved for depictions similar to those in official D&D/Pathfinder art – which, in practice, mostly means ""[[humanoid]], and [[multi wielding|wielding multiple]] [[melee weapons]]"".

Note that the [i][[Final Fantasy I]][/i] character ""[[marilith (final fantasy i)|Marilith]]"" is considered a specific marilith character, and that tag should not be merged into this one. (And, despite her armament, should not imply the [i][[dungeons_and_dragons]][/i] tag.)

Not to be used for more general [[multi-arm]] [[draconcopode]] creatures. In particular, four-armed characters are not mariliths.
"
snuff,"thumb #2416753 thumb #2384205

[b][color=tomato]Explicit[/color][/b] tag.

Originally, a term that refers primarily to the recording of real or implied [[torture]], murder, and occassionally, [[rape|raping]] a kidnapped victim on film.

Here, it refers to [u]deriving sexual pleasure out of extreme pain, suffering, torture, rape, and murder.[/u] This goes far beyond the safe realm of [[BDSM]] and may include some forms of [[gore]] ([[disembowelment]], [[decapitation]], [[grotesque death|grotesque deaths]], etc.), and often a [[orgasm|sexual climax]] which peaks just before the moment of death.

[b]Note:[/b] This tag is only applied when there are one or more characters [i]visibly[/i] having sexual pleasure in an extremely deadly situation. [b]Do not tag this simply because the post contains [[gore]] and/or [[death]].[/b]

h4. See also:

* [[necrophilia]] - Sexual attraction to the dead body itself."
cupcake,"thumb #621463

A [b]cupcake[/b] (also called [b]fairy cake[/b] or [b]patty cake[/b]) is a small [[cake]] designed to serve one person, which may be baked in a small thin paper or aluminum cup. As with larger cakes, icing and other cake decorations, such as candy, may be applied.

h4. See also:

* [[cake]]
* [[cupcake_(fnaf)]]
* [[muffin]]
* ""Wikipedia - Cupcake"":https://en.wikipedia.org/wiki/Cupcake"
bayshore_(artist),Not active since 2012
alternating_focus,"Use when the prominent focus of a character in one frame / panel changes to the prominent focus of another character in the next/adjacent frame / panel.

This tag primarily targets [[comic|comics]], but it may have applications in non-comic material, especially content that highlights the reaction of two or more characters in separate frames.

h4. General guidelines

* The change in focus is usually deliberate, and meaningful to the scene. There may be arbitrary changes in focus that would not be a great fit for this tag.
* Consider adding only if the zoom/crop level doesn't change too drastically between the frames."
pink_male_symbol,"A male symbol that is colored pink as opposed to the standard black or blue, often used to accentuate a male character's femininity, their position as a bottom, relating to the fur colour of an character, or simply a stylistic choice."
churn,"[b]Churn[/b] means to mix, or irritate by moving around. This tag should refer to the [[onomatopoeia]] ""Churn"", use [[mixing]] for other interpretations.

This tag is almost exclusively going to refer to [[digestion]], and should be tagged as a [[digestion_noise|digestion noise]]. It might be seen paired with other digestive sound effects such as ""[[Slosh]]"", and ""[[Glorp]]"".

[b]Sound effect forms:[/b] ""Churn"", ""Chrrn"", ""Chrn"", ""Gurn"", Glurn"", ""Glrrn"", ""Glrn""

Vowelless examples of ""Churn"" should be tagged as [[sound_effects]], not [[onomatopoeia]].

h4. Related tags

* [[digestion]]
* [[digestion_noises]]

h4. See also

* [[tag_group:sound_effects]]

* [[bodily_noises]]
* [[slosh]]"
white_armpit_hair,"thumb #1539952

This tag is used when the [[armpit hair]] of a character in the post is ""white"":https://en.m.wikipedia.org/wiki/White in color.

h4.Tags About Armpit Hair
* [[armpit_hair]]

[section=Tags About Armpit Hair]

[section=Armpit Hair Colors]
h4. Armpit Hair [[tag_group:colors|Colors]]

* [[black_armpit_hair]]
* [[blonde_armpit_hair]]
* [[blue_armpit_hair]]
* [[brown_armpit_hair]]
* [[grey_armpit_hair]]
* [[pink_armpit_hair]]
* [[purple_armpit_hair]]
* [[red_armpit_hair]]
* [b]white_armpit_hair[/b]
* [[yellow_armpit_hair]]

* [[dark_armpit_hair]]
* [[light_armpit_hair]]

[/section]

[section=Other]
* [[armpit_fetish]]
** [[armpit_licking]]
** [[armpit_sex]]
** [[armpit_sniffing]]

[/section]
[/section]"
yawara_(kiu-wot),"Female domestic cat. Owner: ""Kiu-Wot"":https://e621.net/artists/46313"
christmas_is_cancelled,Christmas-related epic fail.
kro-gitsune_(kurogi),"thumb #3161033  　[b]Kro-Gitsune / 黎狐 / クロギツネ[/b] is a Fox fursona.

His owner is ""[b]Kurogi_FoxSIV ( Kurogi / 玄狐 / クロギ ) who's a Japanese volunteer of e621.[/b]"":https://e621.net/users/632383

Male ""[i]Japanese[/i]-Red-Fox (※) "":https://ja.wikipedia.org/wiki/%E3%83%9B%E3%83%B3%E3%83%89%E3%82%AE%E3%83%84%E3%83%8D wearing glasses, has golden brown fur and Ahoge.　The tips of their hands and feet are not black.
He can make glow his eyes, his body, and the patterns on his face, in any color he wants.

He and his owner are Traveling together through the Internet-world, even to the oversea. --- and They are one flesh, [i]literally.[/i] 
While sometimes he is in great trouble -- Admonishing the Poisonous owner (like a run-away locomotive) ... and Being at the mercy of the owner's whim, etc.

玄狐 (Kurogi) means 玄人 = [b]""Expert""[/b] --- Not just ""Black"".
黎狐 (Kro-Gitsune), on the other hand, means 黎明 = [b]""The dawn of a new period"".[/b]
Also, KRO = ""Keep Right On going the way"".

Actually, His true identity is the ""metacognition of the owner"" given a body --- That is, He is the owner's ""alter ego"".
So, Be careful, please --- [i]This Fox[/i] too can sometimes give YOU sarcasm that is stronger than poison !!

FYI.　
Kro-Gitsune is as [b]Friendly[/b] as a Wolf, but,
Kurogi, on the other hand, is a [b]Tyrant[/b] more than a Tiger --- Beware of Beast ； ""To tread on the tiger's tail"" means ""To take a great risk""... !

( ※ Note: Jpn-Red-Fox is a subspecies of ""red-fox,"":https://en.wikipedia.org/wiki/Red_fox , but it's Not the same as an ""Ezo-red-fox."":https://en.wikipedia.org/wiki/Ezo_red_fox ) 

[quote]
[b]「 黎狐 」[/b]とは、e621の日本人有志である「玄狐」の代理キャラ・アバターである。

眼鏡を掛けた、🦊 アカギツネ / ホンドギツネ (※) の獣人。性別はオス。
キツネ色の体毛に、頭に伸びるアホ毛が特徴。手と足の先は黒くない。目・体・顔の模様は、好きな色に光らせることが出来るようだ。

飼い主の「玄狐」とアバターの「黎狐」は〝文字通り〟一心同体であり、ネットの世界を海の向こうまでも共に旅する。
しかし、毒気マシマシで暴れ回る飼い主を諫めたり、逆に振り回されたりと四苦八苦。

「 玄狐 」の〝玄〟が 玄人・達人を意味する (単純に「黒」だけでは無い) のに対し、
「 黎狐 」の〝黎〟は [b]黎明・新たなる時代の幕開け[/b] を意味する。
加えて、英語名の「 KRO 」は ""Keep Right On going the way"" = 「 道を歩み続ける者 」の意味も含む。

その正体とは実の所、オーナーのメタ認知が形として現れた姿。すなわち、「もう一人の自分」なのである。
だから「こっちの狐」も又、ときどき〝誰彼構わずに〟下手な毒よりキツーイ強烈な皮肉を言ってしまう事があるから、くれぐれも気を付けておくれ！

ちなみに。
「 黎狐 」は 🐺 狼のように人懐っこいフレンドリーな性格だが、
「 玄狐 」は 🐯 虎もビックリの暴君っぷり。猛獣注意！；ついウッカリでも「 虎の尾を踏む 」ような真似はしないように。

( ※ホンドギツネはアカギツネの亜種だが、キタキツネとは違う。 )
[/quote]"
reeda,"thumb #4431119

[b]Reeda[/b] is the name given by the [i][[Snoot Game]][/i] community to a [[mtf crossgender|male-to-female crossgender]] redesign of [[reed_(gvh)|Reed]], a character who is featured in [i][[Goodbye Volcano High]][/i].

Reeda is a pink-scaled velociraptor with long, pink hair and purple eyes. Her tail is covered in feathers of a darker scarlet hue compared to the rest of her body, ending with a tuft of feathers at the very tip. She has often been depicted as wearing torn blue jeans, a black sleeveless shirt with split sides, and wears her hair with two small ponytails at her temples and a black hairband just behind her bangs."
crossbones,"thumb #3191751 thumb #3148313 

Two, or more [[bone|bones]] that are in a crossed position. This is usually symbolic, or used for decorative effect.

h4. Tagging notes

This tag is useful for images that replace the typical skull theme with something else.

h4. Categories

* [[skull_and_crossbones]]

h4. See also

* [[skull_symbol]]"
food_play,"The use of food in a sensual fashion.

h4. Common examples of food play include:
* Use of food as an [[improvised_sex_toy]].
thumb #2152047

* Covering oneself in food.
thumb #2214891 thumb #1388567

* [[Stuffing]] or [[feeding]] (either during sex, or when it is providing obvious pleasure for the character eating or the character feeding them).
thumb #1731595 thumb #1436966

h4. See Also
* [[food]]
* [[food_fetish]]
* [[improvised_sex_toy]]
** [[food_insertion]]
** [[food_penetration]]
* [[eating]]
** [[feeding]]
** [[stuffing]]
** [[force_feeding]]
*** [[domination]]
** [[weight_gain]]
* [[nyotaimori]]
* [[cake_sitting]]"
reallynxgirl,"h5.Sources:
* ""Furaffinity"":https://www.furaffinity.net/user/reallynxgirl/

what ever she can't do in writing, she make up for good drawing."
yourdigimongirl,CDNP: only the artist is allowed to post.
djent,Female muttasaur. Belongs to Muttasaur. Reference: http://www.furaffinity.net/view/14215086/
dard,Male alien (feline-looking) character in {{drakuun}} comics.
merp,The natural sound/mating call of a sergal
neon,"thumb #3386471 thumb #3430881 thumb #3547086

[b]Neon[/b] is brightly colored lighting often used in [[strip club|strip clubs]] and [[nightclub|nightclubs]]. Neon is also seen often on body parts such as penises, and clothing.

h4. Related Tags
* [[neon lights]]
* [[neon sign]]"
clawitzer,"h4. See Also:

* [[pokémon]]
** [[clauncher]]
*** clawitzer"
dameeji,"Dameeji is a ""cat"":https://e621.net/wiki/show/felid character created by ""Shadowill"":https://e621.net/artist/show?name=dragontheshadows. He is very girly in terms of appearance and often dresses up as a girl. 

Dameeji has a fondness for sex toys that he considers to be the best option to satisfy his sexual appetite."
archie_finn,"h3.About
[b]Archie Finn[/b] is a male ""thresher shark"":/post/index/1/thresher_shark character created by ""Shiuk"":/artists/1. Finn is a bartender employed at his family's beach resort, and is described by Shiuk as someone who ""tries very hard to fight his outward appearance in order to show off what he's really like."" Finn has only appeared in three works – the eponymous solo portrait [i]""Archie Finn"":/post/show/979646, [/i] a portrait with ""Aurelius"":/posts/979633 entitled [i]""Alone in the Beach"":/posts/979633, [/i]and an animation entitled [i]""Finn's Favourite Toy"":/posts/936291 [/i]– all published in 2016. It is not clear if Shiuk intends to use this character again in any future artwork."
spot_color,"thumb #3554247 thumb #4344282 thumb #4479000 thumb #2382318

When a [[monochrome|monochromatic]] or mostly uncoloured (e.g. [[line art]]) image contains an area, or small areas (or ""spot(s)"") of colour. 

Typically, an image featuring spot colour will only use a single colour other than the monochromatic colour of the image (e.g. a [[sepia]] or blue monochrome, with a spot colour of red), however, there may be multiple [u]small[/u] areas of different colours (e.g. for different character's eyes).

A character's eyes, [[blush]], blood splatter, or glowing objects are the most commonly ""spot coloured"" elements in a scene. Spot colour may be used to highlight a point of interest in an image. 

h5. Note:
[b]Not to be confused with [[restricted pallete]][/b] — which describes an image that is limited to a small number of [i]distinct[/i] colours (usually 2-4) in a scene, but is [i]fully coloured[/i]. This does not apply to variations in monochromatic values, the second example image above has multiple shades of blue, but they are only variations in the same colour.  

"
water_reflection,When a mirror-image [[reflection]] of a character/object can be seen in the surface of [[water]]. Not to be confused with [[caustics]] which often occurs due to light reflecting and refracting off of water.
grinding_(extreme_sports),"a maneuver where a rider, boarder, or skater slides across a rail or narrow surface

See: [[extreme sports]]"
diaper_stuffing,A character trapped inside of another character's [[diaper]]. This should also be tagged as [[diaper_fetish]].
sudonym,"Furry artist who started around 1998. Originally started with a variety of straight and gay work, his art became more gay-orientated overtime. His fursona was a [[lion]].  He passed away suddenly on March 20th, 2022.

h1.Website links

FurAffinity: http://www.furaffinity.net/user/sudonym
Old website: http://www.arclight.net/~erikan/ (some pages accessible via http://web.archive.org/web/19991004105242/http://www.arclight.net/~erikan/) 
VCL: http://us.vclart.net/vcl/Artists/Sudonym/ 
Wiki Fur: https://en.wikifur.com/wiki/Sudonym
"
tarasque,"From https://en.wikipedia.org/wiki/Tarasque :

The {{Tarasque}} is a fearsome legendary {{dragon}}-like mythological hybrid from Provence, in southern France, tamed in a story about Saint Martha.

The legend of the Tarasque is reported in several sources, but especially in the story of St. Martha in the Golden Legend.[2] The creature inhabited the area of Nerluc in Provence, France, and devastated the landscape far and wide. The Tarasque was a sort of dragon with a lion's head, six short legs like a bear's, an ox-like body covered with a turtle shell, and a scaly tail that ended in a scorpion's sting. Other legends report it as living on the modern site of the Chateau Tarascon; i.e. on a rock in the midst of the Rhone. According to the Golden Legend ""There was, at that time, on the banks of the Rhone, in a marsh between Arles and Avignon, a {{dragon}}, half animal, half {{fish}}, thicker than an {{ox}}, longer than an {{horse}}, with {{teeth}} like {{sword}}s and big as {{horns}}, he hid in the {{river}} where he took the life of all passers-by and submerged vessels."" ""Sainte Marthe"". L'Abbaye Sainte Benoit. Retrieved 28 Jan 2013.

The {{Tarasque}} was said to have come from Galatia which was the home of the legendary Onachus, a {{scaly}}, {{bison}}-like {{beast}} which burned everything it touched (this creature is similar to the Bonnacon). The {{Tarasque}} was the offspring of the Onachus and the {{Leviathan}} of biblical account; disputably a giant {{sea_serpent}}.

The {{king}} of Nerluc had attacked the {{Tarasque}} with {{knight}}s and {{catapult}}s to no avail. But Saint Martha found the {{beast}} and {{charm}}ed it with hymns and {{pray}}ers, and led back the {{tamed}} Tarasque to the city. The people, {{terrified}} by the {{monster}}, attacked it when it drew nigh. The {{monster}} offered no resistance and died there. Martha then preached to the people and converted many of them to Christianity. Sorry for what they had done to the {{tamed}} {{monster}}, the newly Christianized townspeople changed the town's name to Tarascon.

The story of the Tarasque is also very similar to the story of {{Beauty_and_the_Beast}} and {{King_Kong}}. The {{monster}} is {{charmed}} and {{weakened}} by a {{woman}} and then {{killed}} when brought back to civilization. A similar idea is found in the myths of Enkidu and the {{unicorn}}: both are calmed by sending them a {{woman}}. The description and legend of this creature is curiously similar to other {{dragons}} of French folklore such as {{Gargouille}} and Peluda."
meggiebun,"only the ""artist"":/users/1579341 is allowed to post"
pistil,Female genitals of plants
diesel_(disambiguation),"Besides being the name of a [[fuel]], ""[b]Diesel[/b]"" may refer to the following:

h4.General
* [[diesel_locomotive]]
* [[dieselpunk]]
* [[diesel_(fuel)]]

h4.Artists
* [[dieselblue]]
* [[dieselbog]]
* [[dieselbrain]]
* [[dieseldoberman]]
* [[dieselmine]]
* [[diesel-turbo]]
* [[diesel_wiesel]]
* [[rbrdiesel]]

h4.Characters
* [[denise_""diesel""_reynolds]]
* [[diesel_(101_dalmatians)]]
* [[diesel_dobie]]
* [[diesel_(explicital)]]
* [[diesel_hyena]]
* [[diesel_(inklop)]]
* [[diesel_(itna)]]
* [[diesel_(johnnyboy1988)]]
* [[diesel_(komatose)]]
* [[diesel_(lewdrat)]]
* [[diesel_(muzz)]]
* [[diesel_(onefinecaprine)]]
* [[diesel_(ragin1)]]
* [[diesel_(ralarare)]]
* [[diesel_(raven_nz)]]
* [[diesel_(shaq_fu)]]
* [[diesel_(sinistervibe)]]
* [[diesel_(statik)]]
* [[diesel_(tarasshadowmane)]]
* [[diesel_(theothefox)]]
* [[diesel_the_rex]]
* [[diesel_wolf]]
* [[vagabonddiesel]]
* [[vin_diesel]]"
amulet_coin,"An item obtained in the game Pokémon. When held by a pokémon, if that pokémon joins in a battle, the prize money will be doubled.
"
shell_necklace,Necklace made from string and seashells.
torn_clothing,"Images or animations in which one or more character's clothing is torn.

h4. Types
* [[torn_headwear]]
* [[torn_topwear]]
* [[torn_dress]]
* [[torn_armwear]]
* [[torn_handwear]]
* [[torn_underwear]]
* [[torn_bottomwear]]
* [[torn_legwear]]
* [[torn_footwear]]

h4. Themes
* [[tearing_clothing]]

h4. Sound effects
* [[ripping_sound_effect]] - Use whenever ""rip"", or ""tear"" is used as a sound effect in the image. "
apex_(artist),"Posts NSFW at http://www.furaffinity.net/user/apexxx/
Posts omorashi and watersports at http://www.furaffinity.net/user/semiaquatic/"
luna_(term26),"Lunaria Blitz is a [[herm]] [[wolf]] [[deity|goddess]] character owned by Term26 https://www.furaffinity.net/user/term26/

Reference sheet: https://www.furaffinity.net/view/21761408/"
minigamer351,"Minigamer351 is a youtuber and streamer from brazil. He start your Youtube channel in 8 of december 2014 and post your first video in 8 june 2018 and start on twitch, his content is for audiences of all ages.

Brazilian channel: https://www.youtube.com/@MiniGamer351
only PT-BR

"
chaos_sorcerer,"Chaos Sorcerers are powerful spellcasters who use the raw Winds of Magic to cast spells and unleash Chaos Sorcery.

Those Champions of Chaos who seek mastery over the magical arts are known as Chaos Sorcerers, and they are madmen and malcontents all. They are amongst the most awful and depraved of all servants of the Ruinous Powers, for they long ago sold their souls in exchange for the heady elixir of pure power. Where many of the Known World's wizards, such as those taught by the Colleges of Magic in Altdorf, glean their arcane skill from long years of painstaking research, a Chaos Sorcerer's understanding of the Winds of Magic is often instant and innate. Without the patience and wisdom that such study brings, an inexorable descent into deformity, mutation and madness is nigh on inevitable.

Chaos Sorcerers are masters of Dark Magic, and there is little beyond their might. They can transport themselves over vast distances, call upon the fires of Tzeentch, slaughter men by the scores, and more. But such magic comes at a terrible price. As they tap the energies of Chaos, their sanity withers whilst their bodies twist and mutate with the invoked energies.

Chaos Sorcerers may be found amongst the savage tribes of the Men of the North, serving as oracles and counsellors, but many also come from the civilised lands of the Empire and beyond. These individuals, finding the limitations on magic within the Imperial Colleges of Magic too restrictive, and lured by the power to be held by dabbling in daemonology, drift north to bring themselves closer to the source of their magic in the Chaos Wastes, learning through trial and error.

What separates Chaos Sorcerers from other spellcasters, namely the Magisters of the Empire, witches, and warlocks, is that these individuals derive their power directly from the Chaos Gods. Thus, only mortal servants of Nurgle, Slaanesh, and Tzeentch may become Chaos Sorcerers. There are no sorcerers of Khorne, for the mortal servants of the Blood God abhor the use of magic as the weapon of cowards, like their divine patron.

According to Magister Patriarch Verspasian Kant, Chaos Sorcerers benefit from the guidance of their chosen Chaos deity, similar to a practictioner of Divine Magic, channeling and focusing the unbridled potentiality of the Aethyr through their Dark God rather than drawing upon the Winds of Magic directly. As such, the magic of a Chaos Sorcerer bears unique traits that are otherwise non-existent or unachievable using more usual methods of spellcasting.

Source: https://warhammerfantasy.fandom.com/wiki/Chaos_Sorcerer

--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

A sorcerer or Chaos Sorcerer is the most powerful type of psyker found among the Chaos Space Marines and the other mortal forces of Chaos.

Sorcerers serve the same role as Librarians do for Loyalist Space Marine Chapters and Sanctioned Psykers do for the Astra Militarum, though many powerful sorcerers can also be considered psychically-gifted Champions of Chaos and Sorcerer Lords.

Instead of the subtle psychic manipulation and divination used by the Farseers of the Aeldari or the strength-boosting powers of the Space Marine Librarians, the sorcerers of Chaos wield death, destruction, and mutation, the mightiest powers of the Warp.

Sorcerers of Chaos shape destiny itself with arcane rituals and unspeakable pacts forged with the malefic entities -- the Daemons -- of the Empyrean. In truth, ""sorcery"" itself differs from other forms of psychic ability because it requires interacting and cutting deals for knowledge and/or power with the entities of the Warp in the pursuit of one's own selfish gain.

Through the knowledge gained by such pacts, sorcerers channel the soul-blasting energies of the Warp into potent hexes and blasts of wyrdflame, and they mould the fabric of the material universe with little more than a hate-filled curse.

Because of their constant exposure to the power of Chaos, sorcerers are inevitably haunted by the prospect of eventually succumbing to crippling mutation or insanity. Though they believe they are above mortal concerns, the truth is that they, too, are only pawns, raised up and then expended by the Dark Gods for their own amusement.

The line between wielding psychic power and true ""sorcery"" is a fine one indeed. The Chapters of the Adeptus Astartes may seek to deny it, but every time a Space Marine Librarian calls upon his mental might he risks tainting his soul.

In the heat of battle, even the most capable psyker may overreach his abilities, and instead of recoiling in horror from the resultant carnage, he may feel a forbidden thrill. Such emotions are the first step on a path to limitless evil.

From that moment on, the psyker may endure honeyed whispers in his dreams and visions of immortality. Those who succumb to such temptations and make deals for power with the Daemonic denizens of the Immaterium become true sorcerers, able to channel the malefic power of the Warp to its fullest extent, unconstrained by morality or consequences.

Sorcerers are forever driven to expand their influence and knowledge. They see themselves as having ascended; no longer hindered by blind loyalty to the Corpse-God of the Imperium, they become even more callous and inhuman than those who follow them.

Some are cold-hearted strategists who vent their hatred upon as much of the universe as possible; Ygethmor the Deceiver once orchestrated a doomsday cult that resulted in the depopulation of every inhabited world in the Corriallis System.

Others act as advisors for Chaos Lords, subtly redirecting them to their own ends under the illusion of servitude. A rare few roam the hidden paths of the universe, unlocking the secrets of the ancients to better plunge the galaxy into the embrace of Chaos.

Regardless of their goals, all sorcerers revel in the anarchy of the Long War. It takes only a flicker of resistance to spur them into unleashing the destructive energies of the Immaterium. Their bitterness manifests upon the battlefield as a palpable force; red-hot skulls hammer down from the skies, disease chokes the souls of those nearby, and men are turned into monsters in their wake.

The martial prowess common to all Chaos Space Marines is magnified greatly when combined with the weapons of the sorcerer, baleful artefacts saturated with the energies of Chaos that can rip the soul from the body of their victim.

The Thousand Sons Legion gave rise to the first Space Marine sorcerers during the early days of the Great Crusade. Even before the Horus Heresy, the XVth Legion of Magnus the Red had a thirst for knowledge of the Warp that proved impossible to slake, and ultimately proved their undoing.

In his arrogance and ignorance, Magnus ignored the warnings of his father the Emperor and could not stop himself from dealing with the denizens of the Warp in the search for ever more knowledge about how to enhance and extend his psychic abilities and those of his Astartes.

Without even realising it, he struck a pact with the Chaos God Tzeentch that ultimately resulted in the damnation of himself and his Legion. Most of the Thousand Sons' number were ultimately reduced to unliving automatons by the Rubric of Ahriman, though the most psychically powerful among them were able to resist the unforeseen consequences of that grand ritual.

Many of these ancient sorcerers have now forged pacts with Abaddon the Despoiler, joining the Warmaster of Chaos in his quest to overthrow the Imperium of Man and adding the strength of their Rubricae bodyguards to that of the Black Legion.

Source: https://warhammer40k.fandom.com/wiki/Sorcerer"
